"","grant_title","id","organization","total_amount","group","Grant start date","start_month","start_day","start_year"
"203","Aprender",203,"Fundación Casa de la Paz",55744588,"high","09-11-2014","09","11","2014"
"204","Proyecto Peldehue de Educación extra escolar y Terapia Floral",204,"Fundación Conciencia",3000000,"low","04-21-2014","04","21","2014"
"205","Reforzamiento de las acciones destinadas a la superación de la pobreza de sectores vulnerables de la RM, restructuración y modernización de la administración central de la institución",205,"Fundación Cristo Vive",9500000,"low","12-30-2014","12","30","2014"
"206","Regularización Eléctrica de establecimiento del centro de salud familiar y la escuela de auxiliares
de enfermería",206,"Fundación Cristo Vive",20000000,"medium","08-20-2014","08","20","2014"
"207","Ampliación y remodelación nueva casa DEBRA",207,"Fundación Debra Chile",74057000,"high","10-06-2014","10","06","2014"
"208","Manejo integral de heridas, mejorando la calidad de vida de los niños con Piel de Cristal",208,"Fundación Debra Chile",20149560,"medium","06-02-2014","06","02","2014"
"209","Fondo Descúbreme",209,"Fundación Descúbreme",120000000,"high","03-20-2014","03","20","2014"
"210","Leer es Primero",210,"Fundación Educacional AraucaníAprende",500000,"low","01-14-2014","01","14","2014"
"211","Rescate Lector",211,"Fundación Educacional AraucaníAprende",91550000,"high","08-05-2014","08","05","2014"
"212","Programa de Becas CFT (Centros de Formación Técnica) para ex alumnos de Belén Educa",212,"Fundación Educacional Belén",1598540,"low","12-31-2014","12","31","2014"
"213","Jardín Infantil y Centro de Familia Ángel de la Guarda",213,"Fundación Educacional Choshuenco",93000000,"high","07-29-2014","07","29","2014"
"214","Programa de mejora continua en calidad pedagógica inicial",214,"Fundación Educacional Choshuenco",38108577,"medium","11-05-2014","11","05","2014"
"215","Proyecto Educacional Proyecto el Golf",215,"Fundación Educacional Colegio El Golf",65094000,"high","01-24-2014","01","24","2014"
"216","Programa de Lectro-Escritura comprensiva Primero Lee",216,"Fundación Educacional Crecer con Todos",27500000,"medium","03-04-2014","03","04","2014"
"217","Apoyo Personal Trabajador Social Especializado",217,"Fundación Educacional Loyola",100000000,"high","06-25-2014","06","25","2014"
"218","Apoyo Personal Trabajador Social Especializado",218,"Fundación Educacional Padre Jaime Larraín",2402458,"low","09-05-2014","09","05","2014"
"219","Generando las condiciones para la mejora del colegio san Alberto",219,"Fundación Educacional Padre Jaime Larraín",765940,"low","12-30-2014","12","30","2014"
"220","Sube Conmigo",220,"Fundación Educacional Padre Jaime Larraín",7000000,"low","09-14-2014","09","14","2014"
"221","Directores Líderes en Escuelas Vulnerables",221,"Fundación Educación 2020",129909872,"high","05-08-2014","05","08","2014"
"222","Programa de acompañamiento y mejora en establecimientos",222,"Fundación Educación 2020",7000000,"low","08-11-2014","08","11","2014"
"223","Selección, formación y acompañamiento de 171 profesionales de Enseña Chile",223,"Fundación Enseña Chile",639607488,"high","01-29-2014","01","29","2014"
"224","Fútbol Más: Escuela de Fútbol y Valores II",224,"Fundación Grandes Valores",744487701,"high","01-08-2014","01","08","2014"
"225","Atención Multidisciplinaria e Integral a Lactantes y Preescolares Vulnerados en sus Derechos",225,"Fundación Hogar Esperanza",26210000,"medium","01-08-2014","01","08","2014"
"226","Atención multidisciplinaria a lactantes y preescolares vulnerados en sus derechos",226,"Fundación Hogar Esperanza",63149093,"high","03-26-2014","03","26","2014"
"227","Restitución del derecho a vivir en familia a lactantes y preescolares vulnerados en sus derechos",227,"Fundación Hogar Esperanza",16890000,"medium","01-08-2014","01","08","2014"
"228","Naturalizar educativamente Jardines Infantiles Etapa II",228,"Fundación Ilumina",105444343,"high","12-23-2014","12","23","2014"
"229","Primavera del Cottolengo etapa II",229,"Fundación Ilumina",37380660,"medium","12-23-2014","12","23","2014"
"230","Semana Empresa - Una Experiencia Educativa de Inducción al Mundo Laboral",230,"Fundación Itaú Chile",4349566,"low","09-01-2014","09","01","2014"
"231","Mejorando la calidad de vida de los Adultos Mayores",231,"Fundación Jóvenes por una América Solidaria",7000000,"low","08-07-2014","08","07","2014"
"232","Atención Técnica Directa al Adulto Mayor Institucionalizado",232,"Fundación Las Rosas",765952864,"high","03-31-2014","03","31","2014"
"233","DISEÑO Y CONSTRUCCIÓN DE UN ELEAM EN LA COMUNA DE BUIN",233,"Fundación Las Rosas",150000000,"high","12-18-2014","12","18","2014"
"234","FINANCIAMIENTO GASTOS  DE OPERACION 40 ELEAM PARA EL PERIODO 2014",234,"Fundación Las Rosas",216680115,"high","12-26-2014","12","26","2014"
"235","RSP Casa de Laura Santiago",235,"Fundación Laura Vicuña",500000,"low","04-07-2014","04","07","2014"
"236","Residencia de Protección Amor, Paz y Alegría",236,"Fundación Laura Vicuña",1200000,"low","06-18-2014","06","18","2014"
"237","Arborización Participativa",237,"Fundación Mi Parque",7000000,"low","07-06-2014","07","06","2014"
"238","Arborización Participativa Antofagasta",238,"Fundación Mi Parque",6645000,"low","11-14-2014","11","14","2014"
"239","Areas Verdes Educativas",239,"Fundación Mi Parque",26600000,"medium","09-02-2014","09","02","2014"
"240","Construcción Proyecto Plan Maestro, Huertos
familiares",240,"Fundación Mi Parque",164416735,"high","07-06-2014","07","06","2014"
"241","Construcción de Áreas Verdes en Conjunto con la Comunidad de Villa Hermosa en Huechuraba",241,"Fundación Mi Parque",12575000,"medium","05-06-2014","05","06","2014"
"242","Máster Plan Participativo Áreas Verdes Baquedano",242,"Fundación Mi Parque",18827574,"medium","01-30-2014","01","30","2014"
"243","Parque Las Turbinas",243,"Fundación Mi Parque",107359041,"high","01-30-2014","01","30","2014"
"244","Plaza La Africana",244,"Fundación Mi Parque",12800000,"medium","12-30-2014","12","30","2014"
"245","Plaza Rodolfo Cortés",245,"Fundación Mi Parque",10000000,"low","12-30-2014","12","30","2014"
"246","Plazas",246,"Fundación Mi Parque",18300000,"medium","04-30-2014","04","30","2014"
"247","Plazas Deportivas",247,"Fundación Mi Parque",608702688,"high","03-21-2014","03","21","2014"
"248","Plazas Deportivas Valparaíso",248,"Fundación Mi Parque",5452052,"low","10-15-2014","10","15","2014"
"249","Plazas Recoleta",249,"Fundación Mi Parque",19348174,"medium","05-30-2014","05","30","2014"
"250","Plazas Región Metropolitana",250,"Fundación Mi Parque",80800000,"high","08-02-2014","08","02","2014"
"251","Recuperación 20 Plazas",251,"Fundación Mi Parque",15000000,"medium","09-02-2014","09","02","2014"
"252","Recuperación y Habilitación de áreas verdes en quebrada Corvallis y Cantera, Antofagasta",252,"Fundación Mi Parque",401716000,"high","01-30-2014","01","30","2014"
"253","Áreas Verdes Colegio Nuestra Señora del Carmen",253,"Fundación Mi Parque",7000000,"low","01-30-2014","01","30","2014"
"254","Diseño de arquitectura, ingeniería y especialidades Alhué",254,"Fundación Minera Florida",31920000,"medium","10-30-2014","10","30","2014"
"255","Emprendimiento y Desarrollo Local Agrícola en Alhué",255,"Fundación Minera Florida",14441150,"medium","12-30-2014","12","30","2014"
"256","Mejoramiento de la calidad de vida de los habitantes de Tal Tal",256,"Fundación Minera Florida",11403145,"low","10-30-2014","10","30","2014"
"257","Mejoramiento del paisaje cívico de la comuna de Alhué",257,"Fundación Minera Florida",68000000,"high","10-30-2014","10","30","2014"
"258","Programa de Apoyo al mejoramiento de la calidad de vida de Alhué",258,"Fundación Minera Florida",22235612,"medium","12-30-2014","12","30","2014"
"259","Programa de Gestión en educación Alhué",259,"Fundación Minera Florida",18012488,"medium","08-05-2014","08","05","2014"
"260","Programa de gestión e integración educacional",260,"Fundación Minera Florida",20332146,"medium","10-30-2014","10","30","2014"
"261","Resolución problemática habitacional Alhué",261,"Fundación Minera Florida",34000000,"medium","11-28-2014","11","28","2014"
"262","Casa de Acogida e Inclusión para personas con Discapacidad Misión de Amor",262,"Fundación Misión Batuco",62500000,"high","12-29-2014","12","29","2014"
"263","CREO, programa de inserción social",263,"Fundación Misses por una Causa",56400000,"high","12-30-2014","12","30","2014"
"264","Proyecto de remodelación Unidad Oncológica",264,"Fundación Nuestros Hijos",225898180,"high","10-30-2014","10","30","2014"
"265","Sillones de acompañamiento para cuidadores de niños con cáncer",265,"Fundación Nuestros Hijos",10500000,"low","10-29-2014","10","29","2014"
"266","Construcción Nuevo Hogar Buen Camino y Reforzamiento de Intervencion en Niños",266,"Fundación Padre Semeria",63900000,"high","01-02-2014","01","02","2014"
"267","Construcción Nuevo Hogar Buen Camino, La Pintana",267,"Fundación Padre Semeria",44700000,"medium","09-29-2014","09","29","2014"
"268","Programa de Prevención de Violencia Escolar",268,"Fundación Paz Ciudadana",26671167,"medium","08-02-2014","08","02","2014"
"269","Programa de empleabilidad para jóvenes infractores de la ley",269,"Fundación Proyecto B",25000000,"medium","01-01-2014","01","01","2014"
"270","Financiamiento Operación Centro de Rehabilitación Laboral (CRL)",270,"Fundación Rostros Nuevos",59133549,"high","01-31-2014","01","31","2014"
"271","Financiamiento Operación del programa Apoyo familiar (PAFAM)",271,"Fundación Rostros Nuevos",61930413,"high","01-31-2014","01","31","2014"
"272","Financiamiento Operación del programa Centro de Larga Estadía (CLE)",272,"Fundación Rostros Nuevos",200105808,"high","01-31-2014","01","31","2014"
"273","Tengo Derecho a Vivir en Familia",273,"Fundación San José Centro de Atención Familiar",23035000,"medium","03-08-2014","03","08","2014"
"274","Capacitación en talleres integrales de oficio a Niños, Niñas y Adolescentes que viven en Centros de Protección de SENAME CREAD Pudahuel",274,"Fundación Sentido",13400000,"medium","09-04-2014","09","04","2014"
"275","Programa Integra Chile",275,"Fundación Servicio Jesuita a Migrantes",617000,"low","05-30-2014","05","30","2014"
"276","Capacitación y potenciamiento de productividad de micro y pequeñas empresas",276,"Fundación Technoserve Chile",64289657,"high","05-02-2014","05","02","2014"
"277","Desarrollo empresarial para micro y pequeños empresas de las regiones II, III, V, RM",277,"Fundación Technoserve Chile",432470306,"high","09-11-2014","09","11","2014"
"278","Proyecto Regional Metropolitano",278,"Fundación Un Techo para Chile",333050647,"high","07-10-2014","07","10","2014"
"279","Construyendo Nuevos Barrios de Vivienda Social",279,"Fundación Urbanismo Social",55942130,"high","03-31-2014","03","31","2014"
"280","Educación en consumo eficiente",280,"Fundación Urbanismo Social",76891946,"high","04-30-2014","04","30","2014"
"281","Acogida para niños con cáncer de regiones junto a su apoderado en casa de la Sagrada Familia",281,"Fundación de Ayuda al Niño Oncológico Casa de la Sagrada Familia",10000000,"low","12-22-2014","12","22","2014"
"282","Construcción Casa de Acogida",282,"Fundación de Ayuda al Niño Oncológico Casa de la Sagrada Familia",6569597,"low","07-09-2014","07","09","2014"
"283","Empleo con apoyo para personas en situacion de calle de las regiones de: Valparaiso, Santiago y Bio Bio",283,"Fundación de Beneficencia Ayuda y Esperanza",64546130,"high","01-31-2014","01","31","2014"
"284","Entrega de Creditos y Capacitacion de 20.553 emprendedoras/es de la Zona Norte, V Region, Colina, Lampa y Til Til",284,"Fundación de Beneficencia Ayuda y Esperanza",318279168,"high","03-31-2014","03","31","2014"
"285","Financiamiento Operación Red de Hospederías",285,"Fundación de Beneficencia Hogar de Cristo",4000000,"low","05-31-2014","05","31","2014"
"286","Financiamiento Residencia Adulto Mayor",286,"Fundación de Beneficencia Hogar de Cristo",10079351215,"high","01-31-2014","01","31","2014"
"287","Programa de Atencion Domiciliaria al Adulto Mayor",287,"Fundación de Beneficencia Hogar de Cristo",71277500,"high","05-31-2014","05","31","2014"
"288","Programa de Mejoramiento de la Calidad de la Educación",288,"Fundación de Beneficencia Hogar de Cristo",308946670,"high","08-31-2014","08","31","2014"
"289","Remodelación y ampliación de Centro de Apoyo a la Familia Policlinico El Salto",289,"Fundación de Educación y Desarrollo Social Los Lagos",44600000,"medium","06-15-2014","06","15","2014"
"290","Educación Financiera en microcampamentos",290,"Fundación de Trabajo en la calle",7294870,"low","10-20-2014","10","20","2014"
"291","Microproyecto Campamento Irene Frei",291,"Fundación de Trabajo en la calle",2505130,"low","11-18-2014","11","18","2014"
"292","Centinela Junto a Ti",292,"Fundación de la Familia",50750000,"medium","12-26-2014","12","26","2014"
"293","Centinela Junto a Ti II",293,"Fundación de la Familia",28000000,"medium","12-26-2014","12","26","2014"
"294","La Ruta de la Beca",294,"Fundación por una Carrera",3533134,"low","11-27-2014","11","27","2014"
"295","Proyecto Visitas colegios asesorías personalizadas y voluntariado",295,"Fundación por una Carrera",11744627,"low","05-14-2014","05","14","2014"
"296","Reconstrucción Colegio Técnico Las Nieves",296,"La Protectora de la Infancia",40250000,"medium","01-21-2014","01","21","2014"
"297","Reconstrucción Residencia Femenina Santa Victoria en Talcahuano",297,"La Protectora de la Infancia",20405787,"medium","01-07-2014","01","07","2014"
"298","Residencia María Reina de los Apóstoles",298,"Maria Ayuda Corporación de Beneficencia",5140988,"low","09-16-2014","09","16","2014"
"299","Residencia Mixta María Ayuda Viña",299,"Maria Ayuda Corporación de Beneficencia",8600000,"low","04-21-2014","04","21","2014"
"300","Residencia Navidad",300,"Maria Ayuda Corporación de Beneficencia",238000,"low","10-24-2014","10","24","2014"
"301","Residencia Niñas María Ayuda Rancagua",301,"Maria Ayuda Corporación de Beneficencia",72150000,"high","07-10-2014","07","10","2014"
"302","Residencia Nuestra Señora de la Esperanza",302,"Maria Ayuda Corporación de Beneficencia",1500000,"low","10-01-2014","10","01","2014"
"303","Residencia Nuestra Señora de la Visitación",303,"Maria Ayuda Corporación de Beneficencia",800000,"low","09-16-2014","09","16","2014"
"304","Residencia Padre Hernán",304,"Maria Ayuda Corporación de Beneficencia",43961850,"medium","03-05-2014","03","05","2014"
"305","Residencia San José",305,"Maria Ayuda Corporación de Beneficencia",600000,"low","12-09-2014","12","09","2014"
"306","Residencia Villa Santa María del Bosque",306,"Maria Ayuda Corporación de Beneficencia",335861853,"high","01-06-2014","01","06","2014"
"307","Red Innovacien",307,"ONG Innovacien",13000000,"medium","03-20-2014","03","20","2014"
"308","Construyendo mi Futuro",308,"ONG de Desarrollo ANSPAC",47300000,"medium","05-06-2014","05","06","2014"
"309","Programa de educación para niños y familias en situación de pobreza y vulnerabilidad de las regiones Metropolitana, Biobío y Araucanía",309,"ONG de Desarrollo Centro de Capacitación y Desarrollo Económico Social (CECADES)",4160000,"low","01-16-2014","01","16","2014"
"310","Red de Formación y Trabajo para el Sur Austral de Chile",310,"ONG de Desarrollo Consejo Empresarial de la Educación",94602000,"high","03-05-2014","03","05","2014"
"311","Unidos por la Salud de los Niños",311,"Patronato Nacional de la Infancia",53385000,"high","05-20-2014","05","20","2014"
"312","Hogar San Francisco de Borja",312,"Patronato de los Sagrados Corazones",10000000,"low","12-30-2014","12","30","2014"
"313","Mejoramiento de la Infraestructura de la Escuela S",313,"nF UFrNaDncAisCcIoO, NL aE PDiUntCanACIONAL SUMATE",15151727,"medium","09-30-2014","09","30","2014"
"314","Acogida para niños con cáncer de regiones junto a su apoderado en casa de la Sagrada Familia",314,"Fundación de ayuda al niño oncológico Casa de la Sagrada Familia",14833593,"medium","08-03-2015","08","03","2015"
"315","Apadrinamiento de 470 niños en alto riesgo social de La Pintana",315,"Asociación Benéfica Cristiana Promotora de Desarrollo Integral",23237117,"medium","06-23-2015","06","23","2015"
"316","Programa Emprende mamá",316,"Asociación de Damas Salesianas",18908000,"medium","12-17-2015","12","17","2015"
"317","Antofagasta",317,"COANIQUEM",1000000,"low","05-30-2015","05","30","2015"
"318","P.MONTT",318,"COANIQUEM",6903348,"low","01-29-2015","01","29","2015"
"319","SANTIAGO",319,"COANIQUEM",6085103,"low","07-31-2015","07","31","2015"
"320","Rehabilitación de Personas de Escasos Recursos con Adicción a las Drogas",320,"Casa de Acogida La Esperanza",264174672,"high","01-12-2015","01","12","2015"
"321","Proyecto RSE - Programa de Desarrollo Pullinque",321,"Corporación Agraria para el Desarrollo",84735000,"high","02-04-2015","02","04","2015"
"322","Impacto del uso de la Inmunización con PALIVIZUMAB en una población de niños prematuros portadores de Displasia Pulmonar",322,"Corporación Amigos de los Niños del Hospital Dr. Sótero del Río",8000000,"low","08-04-2015","08","04","2015"
"323","Centro de Desarrollo Integral, Sede Colina",323,"Corporación Crece Chile",11000000,"low","04-29-2015","04","29","2015"
"324","Centro de Desarrollo Integral, Sede Maipú",324,"Corporación Crece Chile",7000000,"low","05-15-2015","05","15","2015"
"325","Centro de Desarrollo Integral, Sede Pudahuel",325,"Corporación Crece Chile",10000000,"low","03-06-2015","03","06","2015"
"326","Centro de Desarrollo Integral, sede Quilicura",326,"Corporación Crece Chile",12500000,"medium","07-17-2015","07","17","2015"
"327","Construcción CREE Cerro Navia",327,"Corporación Educacional Equipo y Excelencia",939134957,"high","02-03-2015","02","03","2015"
"328","Cuidado Infantil Educación y Participación",328,"Corporación Educacional y de Beneficencia Cristo Joven",132453156,"high","03-31-2015","03","31","2015"
"329","Fortalecimiento de una actitud emprendedora en niños, jóvenes y adultos",329,"Corporación Forja Chile",19000000,"medium","11-30-2015","11","30","2015"
"330","CICLOTURISMO  Y AVENTURA EN TIL TIL",330,"Corporación La Montaña",15580000,"medium","06-17-2015","06","17","2015"
"331","Descubriendo la naturaleza de Til Til",331,"Corporación La Montaña",19550000,"medium","06-17-2015","06","17","2015"
"332","PROGRAMA DE MEJORAMIENTO DE LA
GESTION AMBIENTAL PARA 07
ESTABLECIMIENTOS DE TIL TIL",332,"Corporación La Montaña",10950000,"low","06-17-2015","06","17","2015"
"333","Red de Alimentos",333,"Corporación Red de Alimentos",272853000,"high","03-30-2015","03","30","2015"
"334","Apoyo Emocional a Mujeres con Cáncer de Mama",334,"Corporación Yo Mujer",46633334,"medium","01-06-2015","01","06","2015"
"335","Ampliación y readecuación planta física Centro de Diagnóstico MATER",335,"Corporación de Ayuda al Niño Enfermo Renal Mater",96281743,"high","03-20-2015","03","20","2015"
"336","Centro de Diagnostico Renal infantil MATER",336,"Corporación de Ayuda al Niño Enfermo Renal Mater",33000000,"medium","11-20-2015","11","20","2015"
"337","Fortalecimiento Organizaciones Sociales que prestan servicios a Personas de Escasos Recursos",337,"Corporación de Organizaciones Solidarias",42000000,"medium","10-26-2015","10","26","2015"
"338","Plan de integración Socio Laboral para Rehabilitados de Drogas",338,"Corporación de emprendimiento Social y Acogida Mañana",5000000,"low","09-01-2015","09","01","2015"
"339","Implementación del Centro de Rehabilitación Comunitario de la Corporación A.M.A.R.",339,"Corporación de la Discapacidad de San Jaoquín, A.M.A.R.",1050000,"low","11-20-2015","11","20","2015"
"340","Optimización de la gestión integral de niñas y adolescentes del hogar de protección Villa Yarur Banna",340,"Corporación demos una oportunidad al menor",238600000,"high","10-26-2015","10","26","2015"
"341","Manejo integral de heridas, mejorando la calidad de vida de los niños con Piel de Cristal",341,"F au ndiñaocsió cno nN ucaenstcreors Hijos",12256000,"low","07-14-2015","07","14","2015"
"342","PREVENIR EDUCANDO",342,"F.RUPERTO LECAROS I.",11995000,"low","04-01-2015","04","01","2015"
"343","Capacitación en talleres integrales de oficio a Niños, Niñas y Adolescentes que viven en Centros de Protección de SENAME CREAD Pudahuel",343,"FAu qnudea cviióvne nS ent ihdoogares de",12800000,"medium","03-18-2015","03","18","2015"
"344","FORMACION Y CAPACITACION PARA LA INCLUSION SOCIAL, MOTIVACION Y PRODUCTIVIDAD",344,"FUNDACION  AVE FENIX",3100000,"low","06-02-2015","06","02","2015"
"345","Inserción a la Educación Técnica Superior",345,"FUNDACION EDUCACIONAL SUMATE",309258640,"high","01-31-2015","01","31","2015"
"346","Programas Prevención a la Deserción Escolar",346,"FUNDACION EDUCACIONAL SUMATE",402926472,"high","01-31-2015","01","31","2015"
"347","Cancha de Futbolito Escuela Basica Charruna",347,"FUNDACION LIDERANDO EMPREDIMIENTO",14055090,"medium","12-24-2015","12","24","2015"
"348","MICROPROYECTO CAMPAMENTO IRENE FREI, ESTACION CENTRAL",348,"FUNDACION TRABAJO EN LA CALLE",2000000,"low","09-21-2015","09","21","2015"
"349","Centro Calle",349,"Fundacion Abrazarte",52097232,"medium","01-20-2015","01","20","2015"
"350","Fortalecimiento Organizacional Barrial en Gabriela Mistral - La Palma",350,"Fundacion Junto al Barrio",42300000,"medium","07-13-2015","07","13","2015"
"351","Fortalecimiento Organizacional Barrial en Patria Nueva - El Rodeo",351,"Fundacion Junto al Barrio",60000000,"high","08-14-2015","08","14","2015"
"352","Fortalecimiento Organizacional Barrial en Ramaditas.",352,"Fundacion Junto al Barrio",100000000,"high","07-13-2015","07","13","2015"
"353","Fortalecimiento Organizacional Barrial en el Barrio Los Presidentes de Chile",353,"Fundacion Junto al Barrio",60000000,"high","12-30-2015","12","30","2015"
"354","JAB El Castillo, promoviendo la integración y
articulando redes de inversión pública y privada",354,"Fundacion Junto al Barrio",7762160,"low","04-13-2015","04","13","2015"
"355","Mejoramiento Equipamiento Comunitario para los Vecinos de la población Tomás Gauglen, Rancagua",355,"Fundacion Junto al Barrio",40000000,"medium","11-12-2015","11","12","2015"
"356","Organizaciones comunitarias población La Pincoya: Liderando el cambio",356,"Fundacion Junto al Barrio",500000,"low","06-01-2015","06","01","2015"
"357","Promocion y Articulacion social en Heroes del Mar",357,"Fundacion Junto al Barrio",60000000,"high","05-18-2015","05","18","2015"
"358","Promoviendo la Integracion Territorial de Barrios: Juntos Levantamos la Parte Alta de Coquimbo",358,"Fundacion Junto al Barrio",182900000,"high","06-14-2015","06","14","2015"
"359","Operacion de Programas Terapeuticos Residenciales Adultos La Manresa, San Francisco y Santa Ana",360,"Fundación (Paréntesis)",650443782,"high","01-31-2015","01","31","2015"
"360","Operación de Programas Terapéuticos Ambulatorios para Adolescentes",361,"Fundación (Paréntesis)",136163082,"high","01-31-2015","01","31","2015"
"361","Actividad Física, Deporte e Inclusión",362,"Fundación AMIPAC",5000000,"low","07-15-2015","07","15","2015"
"362","Apoyo a Empresas para la Inclusión Laboral de Personas con Discapacidad",363,"Fundación AMIPAC",2250000,"low","07-15-2015","07","15","2015"
"363","Ayudalos a seguir soñando",364,"Fundación Alter Ego",1500000,"low","09-24-2015","09","24","2015"
"364","Apoyo a la integracion social e insercion Laboral de jovenes con  Discapacidad Cognitiva  Leve a Moderada",365,"Fundación Amigos Por Siempre",960000,"low","06-05-2015","06","05","2015"
"365","Centro Diurno de Rehabilitación para niños, niñas, jóvenes y adultos en situación de discapacidad",366,"Fundación Amigos de Jesús",16504000,"medium","08-28-2015","08","28","2015"
"366","Residencia grupal para adultos con discapacidad en Curicó",367,"Fundación Amigos de Jesús",300000,"low","09-28-2015","09","28","2015"
"367","Desarrollo Proyecto Agua Potable Callaqui",368,"Fundación Amulén",200000000,"high","10-26-2015","10","26","2015"
"368","Mejorando Las Residencias de Protección para PCDI",369,"Fundación COANIL",19179515,"medium","03-10-2015","03","10","2015"
"369","Mejorando la Calidad de Educación para PCDI",370,"Fundación COANIL",6600000,"low","07-02-2015","07","02","2015"
"370","Síndrome de Down y proyecto de vida inclusiva",371,"Fundación CPUED",57644753,"high","04-09-2015","04","09","2015"
"371","Activarse",372,"Fundación Casa de la Paz",60581336,"high","12-01-2015","12","01","2015"
"372","Aprender",373,"Fundación Casa de la Paz",26502288,"medium","12-30-2015","12","30","2015"
"373","Reforzamiento de las acciones de Fundación Cristo Vive (FCV), destinadas a la superación de la pobreza de sectores vulnerables de la Región Metropolitana, a través de la reestructuración y modernización de la Administración Central de la institución",374,"Fundación Cristo Vive",54920000,"high","01-09-2015","01","09","2015"
"374","Manejo Integral de heridas, Mejorando la calidad de vida de los Niños Piel de Cristal",375,"Fundación Debra Chile",24841486,"medium","02-03-2015","02","03","2015"
"375","Fondo Descúbreme",376,"Fundación Descúbreme",90000000,"high","01-19-2015","01","19","2015"
"376","Programa de Empresa inclusiva Anofagasta",377,"Fundación Descúbreme",67200000,"high","03-23-2015","03","23","2015"
"377","Programa de mejora continua en calidad pedagógica inicial",378,"Fundación Educacional
gCihcoa sihnuiceianlc -o quik valpo año",25603176,"medium","12-28-2015","12","28","2015"
"378","Rescate Lector",379,"Fundación Educacional AraucaníAprende",52300000,"high","03-17-2015","03","17","2015"
"379","Programa de Becas CFT (Centros de Formación Técnica) para ex alumnos de Belén Educa",380,"Fundación Educacional Belén",1223000,"low","12-31-2015","12","31","2015"
"380","Jardín Infantíl y Centro de Familia Colina",381,"Fundación Educacional Choshuenco",107924407,"high","05-31-2015","05","31","2015"
"381","Programa Capacitación Oportunidad Temprana",382,"Fundación Educacional Choshuenco",16220000,"medium","11-17-2015","11","17","2015"
"382","Programa de Mejora Continua QUIK _ Los Ríos",383,"Fundación Educacional Choshuenco",45741666,"medium","03-27-2015","03","27","2015"
"383","Apoyo en Infraestructura para lograr Educación de Calidad",384,"Fundación Educacional Educa Araucanía",24100000,"medium","12-29-2015","12","29","2015"
"384","Apoyo Personal Trabajador Social Especializado",385,"Fundación Educacional Padre Jaime Larraín",4221329,"low","03-31-2015","03","31","2015"
"385","Programa Semana Empresa, pilotaje programa anual",386,"Fundación Educación 2020",42498621,"medium","09-17-2015","09","17","2015"
"386","Programa de acompañamiento y mejora en establecimientos",387,"Fundación Educación 2020",4000000,"low","01-15-2015","01","15","2015"
"387","Generando las condiciones para la mejora de la calidad del Colegio José Antonio Lecaros",388,"Fundación Educación Loyola",47698622,"medium","03-19-2015","03","19","2015"
"388","Formación y acompañamiento de profesionales de Enseña Chile para el trabajo en colegios vulnerables durante los años 2015, 2016 y 2017 y selección de profesionales de Enseña Chile para el trabajo en colegios vulnerables durante los años 2016, 2017 y 2018",389,"Fundación Enseña Chile",611025342,"high","01-26-2015","01","26","2015"
"389","Fútbol Más: Escuela de Fútbol y Valores II",390,"Fundación Grandes Valores",338659882,"high","02-18-2015","02","18","2015"
"390","Ampliación colegio salas multiuso y baños",391,"Fundación Granito de Mostaza",1000000,"low","12-28-2015","12","28","2015"
"391","Atención multidisciplinaria a lactantes y preescolares vulnerados en sus derechos",392,"Fundación Hogar Esperanza",71792115,"high","01-02-2015","01","02","2015"
"392","Restitución del derecho a vivir en familia a lactantes y preescolares vulnerados en sus derechos",393,"Fundación Hogar Esperanza",25000000,"medium","12-30-2015","12","30","2015"
"393","Jardín Terapeutico Pequeño Cottolengo",394,"Fundación Ilumina",5000000,"low","12-22-2015","12","22","2015"
"394","Naturalizar Educativamente Jardines Infantiles Etapa IV",395,"Fundación Ilumina",67475079,"high","12-28-2015","12","28","2015"
"395","Primavera del Cottolengo Etapa II",396,"Fundación Ilumina",10249253,"low","09-30-2015","09","30","2015"
"396","Primavera del Cottolengo Etapa III",397,"Fundación Ilumina",26449930,"medium","12-28-2015","12","28","2015"
"397","Habilitación de Áreas Verdes Hospital Salvador",398,"Fundación Inspira",10000000,"low","05-18-2015","05","18","2015"
"398","Semana Empresa - Una Experiencia Educativa de Inducción al Mundo Laboral",399,"Fundación Itaú Chile",6000000,"low","07-28-2015","07","28","2015"
"399","Crecer Jugando",400,"Fundación Juguemos con Nuestros con Hijos",150000,"low","12-28-2015","12","28","2015"
"400","Gestión y Acompañamiento Proyectos América Solidaria",401,"Fundación Jóvenes por una América Solidaria",454000,"low","12-30-2015","12","30","2015"
"401","Atención Técnica Directa al Adulto Mayor Institucionalizado",402,"Fundación Las Rosas",1499536619,"high","01-27-2015","01","27","2015"
"402","DISEÑO Y CONSTRUCCIÓN DE UN ELEAM EN LA COMUNA DE BUIN",403,"Fundación Las Rosas",168000000,"high","07-30-2015","07","30","2015"
"403","FINANCIAMIENTO GASTOS  DE OPERACION 40 ELEAM PARA EL PERIODO 2014",404,"Fundación Las Rosas",6000000,"low","11-30-2015","11","30","2015"
"404","PER AMOR, PAZ Y ALEGRIA",405,"Fundación Laura Vicuña",1950000,"low","11-20-2015","11","20","2015"
"405","PER CASA DE LAURA PUERTO MONTT",406,"Fundación Laura Vicuña",5000000,"low","06-10-2015","06","10","2015"
"406","PER CASA DE LAURA SANTIAGO",407,"Fundación Laura Vicuña",200000,"low","11-30-2015","11","30","2015"
